"Id";"LeadUserId";"CountyList";"CreateDate"
"0effd95e-a481-11ef-99ce-0af7a01f52e9";"4411c3b7-a44d-11ef-99ce-0af7a01f52e9";"-1";"2024-11-17 01:12:48"
"1382ec71-a483-11ef-99ce-0af7a01f52e9";"4411c3b7-a44d-11ef-99ce-0af7a01f52e9";"-1";"2024-11-17 01:27:14"
"1849ad34-a5db-11ef-99ce-0af7a01f52e9";"4411c3b7-a44d-11ef-99ce-0af7a01f52e9";"-1";"2024-11-18 18:29:49"
"1874d9c6-a5db-11ef-99ce-0af7a01f52e9";"4411c3b7-a44d-11ef-99ce-0af7a01f52e9";"-1";"2024-11-18 18:29:49"
"45c0bb70-a5e6-11ef-99ce-0af7a01f52e9";"fef29532-a487-11ef-99ce-0af7a01f52e9";"-1";"2024-11-18 19:49:50"
"465d0044-a482-11ef-99ce-0af7a01f52e9";"4411c3b7-a44d-11ef-99ce-0af7a01f52e9";"-1";"2024-11-17 01:21:30"
"469da840-a5e6-11ef-99ce-0af7a01f52e9";"05048b8b-a48d-11ef-99ce-0af7a01f52e9";"-1";"2024-11-18 19:49:51"
"4a67b7b2-a5e6-11ef-99ce-0af7a01f52e9";"4411c3b7-a44d-11ef-99ce-0af7a01f52e9";"-1";"2024-11-18 19:49:58"
"4b736e41-a5e6-11ef-99ce-0af7a01f52e9";"4411c3b7-a44d-11ef-99ce-0af7a01f52e9";"-1";"2024-11-18 19:49:59"
"6b1b7bca-a485-11ef-99ce-0af7a01f52e9";"4411c3b7-a44d-11ef-99ce-0af7a01f52e9";"-1";"2024-11-17 01:44:00"
"6e55832b-a482-11ef-99ce-0af7a01f52e9";"4411c3b7-a44d-11ef-99ce-0af7a01f52e9";"-1";"2024-11-17 01:22:37"
"7ee72fba-a481-11ef-99ce-0af7a01f52e9";"4411c3b7-a44d-11ef-99ce-0af7a01f52e9";"-1";"2024-11-17 01:15:55"
"94691f7d-a480-11ef-99ce-0af7a01f52e9";"4411c3b7-a44d-11ef-99ce-0af7a01f52e9";"-1";"2024-11-17 01:09:22"
"ae48fd7a-a819-11ef-99ce-0af7a01f52e9";"4411c3b7-a44d-11ef-99ce-0af7a01f52e9";"-1";"2024-11-21 15:02:52"
"b1409b81-a47f-11ef-99ce-0af7a01f52e9";"4411c3b7-a44d-11ef-99ce-0af7a01f52e9";"-1";"2024-11-17 01:03:01"
"b9842be0-a486-11ef-99ce-0af7a01f52e9";"4411c3b7-a44d-11ef-99ce-0af7a01f52e9";"-1";"2024-11-17 01:53:21"
"bdf181c9-a480-11ef-99ce-0af7a01f52e9";"4411c3b7-a44d-11ef-99ce-0af7a01f52e9";"-1";"2024-11-17 01:10:32"
